X,Y,Id,NomeOrgao,Endereco,Telefone,Email,HorarioFuncionamento,icon_url
-52.2743091765034,-27.6352642263819,"1",PREFEITURA MUNICIPAL DE ERECHIM,"Praça da Bandeira, 354",(54) 3520-7000,gabinete@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2748639639445,-27.6351258482084,"2",CÂMARA MUNICIPAL DE VEREADORES,"Rua Comandante Salomoni, 21",(54) 2107-7100,camara@erechim.rs.leg.br,07h:30 às 11h:30 e 13h:00 às 17h:00,./0.png
-52.2751649271002,-27.6359312984767,"3",IEP - INSTITUTO ERECHINENSE DE PREVIDÊNCIA,"Av. Salgado Filho, 101",(54) 3522-3695,iep@erechim.rs.gov.br,07:30h às 11:30h e 13h até 17h,./0.png
-52.2742822924545,-27.6365870111889,"4",SECRETARIA DE CULTURA E ESPORTE,"Av. Pedro Pinto de Souza, 100",(54) 3520-7006,adm.smc@erechim.rs.gov.br,07:30h às 11:30h e 13h até 17h,./0.png
-52.2742637219804,-27.6366401516919,"5",BIBLIOTECA PÚBLICA MUNICIPAL,"Av. Pedro Pinto de Souza, 100",(54) 3520-7047,biblioteca@erechim.rs.gov.br,07:30h às 11:30h e 13h até 17h,./0.png
-52.2717368590333,-27.6360006750435,"6",SECRETARIA DA FAZENDA,"Av. 15 de Novembro, 175",(54) 3520-7003,smf@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2681103123306,-27.6351909236944,"7","SECRETARIA DA AGRICULTURA, ABASTECIMENTO E SEGURANÇA ALIMENTAR","Rua Gonçalves Dias, 22",(54) 3520-7011,agricultura@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2605953463483,-27.6330290035727,"8",PARQUE DE MÁQUINAS MUNICIPAL,"Rua Machado de Assis, 233",(54) 3520-7021,pmaquinas@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2776741720095,-27.6430360761059,"9",SECRETARIA DE EDUCAÇÃO,"Av. Farrapos,  603",(54) 3520-7005,smed@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2800478942089,-27.6300348750678,"10",SECRETARIA DE MEIO AMBIENTE,"Av. Germano Hoffmann, 351",(54) 3520-7007,smma@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2785953793557,-27.6290811463784,"11",SECRETARIA DA SAÚDE,"Av. Santo Dal Bosco, 200",(54) 3520-7200,sms@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2762445677075,-27.6363545425915,"12",SECRETARIA DE ASSISTÊNCIA SOCIAL,"Av. Salgado Filho, 227",(54) 3520-7051,smas@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2623954104476,-27.6416495855564,"13","SECRETARIA DE DESENVOLVIMENTO ECONÔMICO, INOVAÇÃO E TURISMO","Rua Eustáchio Santolin, 35",(54) 3520-7004,smdeit@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2748148457999,-27.6352752615395,"14",SECRETARIA DE PLANEJAMENTO,"Av. Comandante Salomoni, s/n",(54) 3520-7010,planejamento@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2742895773482,-27.6353119851047,"15",SECRETARIA DE ADMINISTRAÇÃO,"Praça da Bandeira, 354",54-3520-7000,sma@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2743371339957,-27.6352215562838,"16","SECRETARIA DE OBRAS PÚBLICAS, HABITAÇÃO, SEGURANÇA E PROTEÇÃO SOCIAL","Praça da Bandeira, 354",(54) 3520-7000,smoph@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
-52.2742771707713,-27.6353451340778,"17",SECRETARIA DE GESTÃO E GOVERNANÇA,"Praça da Bandeira, 354",(54) 3520-7000,gab.sgg@erechim.rs.gov.br,7h30min às 11h30min e 13hs às 17hs,./0.png
